Part number,Manufacturer,Alternative,Library Path,Library Ref,Footprint Path,Footprint Ref,Package,Color,Voltage,Current,View Angle,Luminous intensity,Tmin,Tmax,Description,ComponentLink1Description,ComponentLink1URL,Component Note,TU,gost BOM,Note
KPTB-1612SURKCGKC,Kingbright, ,LED_dual.SchLib,LED_dual,PCB - LED - KINGBRIGHT KTPB-1612.PCBLIB,KPTB-1612,1612,Red/Green,2.5,20mA,120,220/50 mcd,-40,85, BI-COLOR SMD CHIP LED LAMP,Datasheet,https://static.chipdip.ru/lib/776/DOC059776908.pdf,1612 DUAL LED,,"KPTB-1612SURKCGKC 
Kingbright", 
KPG-1608ZGC,Kingbright,,LED_single.SchLib,LED_single,PCB - LED - LED 0603_1608 GREEN.PCBLIB,LED 0603_1608 GREEN,0603,Green,3.3,20mA,120,400 mcd,-40,85,1.6X0.8mm SMD CHIP LED LAMP (0.25mm Height),Datasheet,https://static.chipdip.ru/lib/587/DOC035587394.pdf,0603 GREEN LED,,KPG-1608ZGC Kingbright,
KPG-1608SURKC-T,Kingbright,,LED_single.SchLib,LED_single,PCB - LED - LED 0603_1608 RED.PCBLIB,LED 0603_1608 RED,0603,Red,2.5,20mA,120,350 mcd @20mA,-40,85,1.6X0.8mm SMD CHIP LED LAMP (0.25mm Height),Datasheet,https://static.chipdip.ru/lib/318/DOC059318605.pdf,0603 RED LED,,KPG-1608SURKC-T Kingbright,
TO-1608BC-BF,Oasistek,,LED_single.SchLib,LED_single,PCB - LED - LED 0603_1608 BLUE.PCBLIB,LED 0603_1608 BLUE,0603,Blue,3.2,20mA,120,112-321 @20mA,-55,85,1.6X0.8X0.6mm SMD LED,Datasheet,https://static.chipdip.ru/lib/736/DOC002736042.pdf,0603 BLUE LED,,TO-1608BC-BF Oasistek,
KPG-1608SYKC-T ,Kingbright,,LED_single.SchLib,LED_single,PCB - LED - LED 0603_1608 YELLOW.PCBLIB,LED 0603_1608 YELLOW,0603,Yellow,2.5,20mA,120,120 mcd @20mA,-40,85,1.6X0.8mm SMD CHIP LED LAMP (0.25mm Height),Datasheet,https://static.chipdip.ru/lib/776/DOC059776700.pdf,0603 YELLOW LED,,KPG-1608SYKC-T Kingbright,
TO-5050BC-MRPBFGF ,Oasistek,,LED_BRG.SchLib,LED_BRG,PCB - LED - LED 5050 BRG.PCBLIB,LED 5050 BRG,5050,RGB,2.4/3.4/3.4,20mA,120,190 - 542/1192,-20,80,5.5x5x2 mm RGB LED,Datasheet,https://static.chipdip.ru/lib/736/DOC002736076.pdf,5050 RGB LED,,TO-5050BC-MRPBFGF Oasistek,
GNS-3013AG-21,G-nor Electronics,,GNS-3013A.SchLib,GNS-3013A,PCB - LED - GNS-3013AG.PCBLIB,GNS-3013,3013,Green,2.1,20mA,120,11 mcd,-40,85,127x7.6x6.1mm LED 7 DOT INDICATOR COM CAT,Datasheet,https://static.chipdip.ru/lib/774/DOC030774133.pdf,7 DOT INTICATOR,,GNS-3013AG-21 G-nor Electronics,
KP-3216SURCK,Kingbright,,LED_single.SchLib,LED_single,PCB - LED - LED 1206_3216 RED.PCBLIB,LED 1206_3216 RED,1206,Red,2.5,20mA,120,230 mcd @20mA,-40,85,3.2x1.6mm SMD CHIP LED LAMP (1.1mm Height),Datasheet,https://static.chipdip.ru/lib/071/DOC029071395.pdf,1206 RED LED,,KP-3216SURCK Kingbright,
